timestamp,value,anomaly_score,label,S(t)_standard,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate
2014-04-01 00:00:00,18.090486228499998,0.02568876818586842,0,-0.11,-0.22,-0.11
2014-04-01 00:05:00,20.359842585899997,0.9102600100253092,0,-0.11,-0.22,-0.11
2014-04-01 00:10:00,21.105469847200002,0.9542736601087092,0,-0.11,-0.22,-0.11
2014-04-01 00:15:00,21.1515852522,0.9459045724258576,0,-0.11,-0.22,-0.11
2014-04-01 00:20:00,18.1371405424,0.05381936913085187,0,-0.11,-0.22,-0.11
2014-04-01 00:25:00,21.6256605306,0.944793779809638,0,-0.11,-0.22,-0.11
2014-04-01 00:30:00,21.6738066877,0.9363502415254666,0,-0.11,-0.22,-0.11
2014-04-01 00:35:00,20.2455614926,0.8661796607631321,0,-0.11,-0.22,-0.11
2014-04-01 00:40:00,19.9283327955,0.7891140641805792,0,-0.11,-0.22,-0.11
2014-04-01 00:45:00,18.1794698523,0.08903940407796343,0,-0.11,-0.22,-0.11
2014-04-01 00:50:00,20.24781657,0.8502971294626231,0,-0.11,-0.22,-0.11
2014-04-01 00:55:00,19.637516327100002,0.6785775339631751,0,-0.11,-0.22,-0.11
2014-04-01 01:00:00,21.0912256296,0.9016942431563104,0,-0.11,-0.22,-0.11
2014-04-01 01:05:00,19.6155342675,0.6634070205166153,0,-0.11,-0.22,-0.11
2014-04-01 01:10:00,20.7343233333,0.8735253741538742,0,-0.11,-0.22,-0.11
2014-04-01 01:15:00,18.405632585,0.15579688765194866,0,-0.11,-0.22,-0.11
2014-04-01 01:20:00,18.5318090831,0.1880389286274769,0,-0.11,-0.22,-0.11
2014-04-01 01:25:00,18.5588407626,0.19481049237876685,0,-0.11,-0.22,-0.11
2014-04-01 01:30:00,18.1821019992,0.1226317727280631,0,-0.11,-0.22,-0.11
2014-04-01 01:35:00,20.165315437100002,0.8018753345372294,0,-0.11,-0.22,-0.11
2014-04-01 01:40:00,21.1758709042,0.8835591798637394,0,-0.11,-0.22,-0.11
2014-04-01 01:45:00,20.4416448148,0.8280526274957409,0,-0.11,-0.22,-0.11
2014-04-01 01:50:00,20.2998195422,0.8030563904576788,0,-0.11,-0.22,-0.11
2014-04-01 01:55:00,20.722495713599997,0.8359937013562504,0,-0.11,-0.22,-0.11
2014-04-01 02:00:00,19.3585812923,0.5406813216858887,0,-0.11,-0.22,-0.11
2014-04-01 02:05:00,19.447816286600002,0.5700540917615013,0,-0.11,-0.22,-0.11
2014-04-01 02:10:00,19.2570803929,0.4896012142397753,0,-0.11,-0.22,-0.11
2014-04-01 02:15:00,20.848435731400002,0.8310096522850999,0,-0.11,-0.22,-0.11
2014-04-01 02:20:00,18.6465613427,0.2565255597753982,0,-0.11,-0.22,-0.11
2014-04-01 02:25:00,18.0521011213,0.18242257084196792,0,-0.11,-0.22,-0.11
2014-04-01 02:30:00,20.3847857869,0.7815174629816615,0,-0.11,-0.22,-0.11
2014-04-01 02:35:00,21.7695254589,0.8874092479092494,0,-0.11,-0.22,-0.11
2014-04-01 02:40:00,20.437631667999998,0.7781298785197097,0,-0.11,-0.22,-0.11
2014-04-01 02:45:00,21.1316866118,0.8266820820033841,0,-0.11,-0.22,-0.11
2014-04-01 02:50:00,20.6911628379,0.7869518669271742,0,-0.11,-0.22,-0.11
2014-04-01 02:55:00,19.9897466141,0.6978689658139023,0,-0.11,-0.22,-0.11
2014-04-01 03:00:00,20.873569607100002,0.7879677028116588,0,-0.11,-0.22,-0.11
2014-04-01 03:05:00,21.2964164954,0.8146087306552776,0,-0.11,-0.22,-0.11
2014-04-01 03:10:00,18.8989265767,0.3747296177813293,0,-0.11,-0.22,-0.11
2014-04-01 03:15:00,19.3445219219,0.5219542447111986,0,-0.11,-0.22,-0.11
2014-04-01 03:20:00,18.89490293,0.3673182796443792,0,-0.11,-0.22,-0.11
